,Education,Income
1,10,26.65884
2,10.40134,27.30644
3,10.84281,22.13241
4,11.24415,21.16984
5,11.64545,15.19263
6,12.08696,26.39895
7,12.04883,17.43531
8,12.88963,25.50789
9,13.29097,36.8846
10,13.73244,39.66611
11,14.13378,34.39628
12,14.63512,41.49799
13,14.97859,44.98158
14,15.37793,47.0396
15,15.77926,48.25258
16,16.22074,57.03425
17,16.62207,51.49092
18,17.02341,51.33662
19,17.46488,57.682
20,17.86622,68.55371
21,18.26756,64.31093
22,18.70903,68.95901
23,19.11037,74.61464
24,19.51171,71.8672
25,19.91304,76.09814
26,20.35452,75.77522
27,20.75585,72.48606
28,21.16719,77.35502
29,21.59866,72.11879
30,22,80.26057
